fecha_inicio,mes_num,mes_nombre,propiedad,noches,ingreso_bruto,ingreso_neto,tarifa_servicio,tarifa_limpeza,ocupacion_pct
2026-03-29,3,March,Casa 3min USA,1.0,2160.0,1771.63,388.37,750.0,3.3
2026-03-29,3,March,Casa de las Flores,2.0,2826.55,2318.28,508.27,750.0,6.7
2026-03-28,3,March,Casa de Ineva,2.0,2910.0,2386.73,523.27,700.0,6.7
2026-03-28,3,March,Casa Alegre,2.0,2560.83,2100.39,460.44,650.0,6.7
2026-03-28,3,March,Casa de las Flores,1.0,1793.8,1471.27,322.53,750.0,3.3
2026-03-28,3,March,Casa 5min USA,1.0,1765.75,1448.27,317.48,750.0,3.3
2026-03-28,3,March,Casa del Parque,2.0,2950.0,2419.59,530.41,750.0,6.7
2026-03-28,3,March,Emily House,1.0,1400.0,1148.28,251.72,500.0,3.3
2026-03-27,3,March,Casa 3min USA,2.0,4020.0,3297.2,722.8,750.0,6.7
2026-03-27,3,March,Casa de las Flores,1.0,1793.8,1471.23,322.57,750.0,3.3
2026-03-27,3,March,Casa de Ineva,1.0,1700.0,1394.34,305.66,700.0,3.3
2026-03-27,3,March,Casa de Rigo,3.0,3840.0,3149.62,690.38,850.0,10.0
2026-03-27,3,March,Casa Zoe,3.0,4030.0,3305.42,724.58,850.0,10.0
2026-03-26,3,March,Casa Super Comoda,3.0,4046.58,3319.0,727.58,850.0,10.0
2026-03-26,3,March,Emily House,2.0,2247.44,1843.35,404.09,500.0,6.7
2026-03-25,3,March,Casa 3min USA,1.0,2027.76,1663.17,364.59,750.0,3.3
2026-03-25,3,March,Casa del Parque,3.0,4051.34,3322.91,728.43,850.0,10.0
2026-03-22,3,March,Casa de Ineva,2.0,2720.0,2230.94,489.06,700.0,6.7
2026-03-17,3,March,Casa de las Flores,7.0,647.5,531.08,116.42,0.0,23.3
2026-03-21,3,March,Casa del Parque,1.0,1800.0,1476.36,323.64,750.0,3.3
2026-03-21,3,March,Casa 5min USA,5.0,6040.0,4954.01,1085.99,850.0,16.7
2026-03-17,3,March,Casa de las Flores,7.0,1000.0,820.2,179.8,0.0,23.3
2026-03-20,3,March,Casa 3min USA,2.0,4050.0,3321.81,728.19,750.0,6.7
2026-03-20,3,March,Casa del Parque,1.0,1770.0,1451.75,318.25,750.0,3.3
2026-03-20,3,March,Emily House,2.0,2300.0,1886.46,413.54,500.0,6.7
2026-03-19,3,March,Casa del Parque,1.0,1750.0,1435.35,314.65,750.0,3.3
2026-03-19,3,March,Casa Super Comoda,5.0,6520.0,5347.78,1172.22,850.0,16.7
2026-03-19,3,March,Casa de Rigo,6.0,6800.0,5577.36,1222.64,850.0,20.0
2026-03-18,3,March,Casa 5min CAS,12.0,11376.0,9330.68,2045.32,850.0,40.0
2026-03-18,3,March,Casa Zoe,6.0,7240.0,5938.25,1301.75,850.0,20.0
2026-03-17,3,March,Casa 3min USA,3.0,5140.0,4215.76,924.24,900.0,10.0
2026-03-17,3,March,Casa de las Flores,7.0,5900.0,4839.18,1060.82,850.0,23.3
2026-03-17,3,March,Casa de Ineva,3.0,3567.45,2926.03,641.42,850.0,10.0
2026-03-17,3,March,Casa 5min USA,4.0,4520.89,3708.03,812.86,850.0,13.3
2026-03-16,3,March,Casa de Ineva,1.0,1700.0,1394.34,305.66,700.0,3.3
2026-03-16,3,March,Casa del Parque,1.0,1750.0,1435.35,314.65,750.0,3.3
2026-03-16,3,March,Casa Zoe,2.0,2750.0,2255.55,494.45,750.0,6.7
2026-03-14,3,March,Casa de Ineva,2.0,2940.0,2411.36,528.64,700.0,6.7
2026-03-13,3,March,Casa 3min USA,2.0,3940.0,3231.51,708.49,750.0,6.7
2026-03-13,3,March,Casa del Parque,3.0,3860.0,3165.97,694.03,850.0,10.0
2026-03-13,3,March,Casa Zoe,2.0,2750.0,2255.54,494.46,750.0,6.7
2026-03-13,3,March,Casa Super Comoda,2.0,3050.0,2501.61,548.39,850.0,6.7
2026-03-13,3,March,Casa 5min USA,1.0,1750.0,1435.35,314.65,750.0,3.3
2026-03-12,3,March,Casa de Rigo,6.0,6780.0,5560.96,1219.04,850.0,20.0
2026-03-12,3,March,Casa Zoe,1.0,1780.0,1459.96,320.04,750.0,3.3
